file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,180,css,68680de7,Kyle Dang,2026-04-29,18:57:56,-07:00,2026-04-29T18:57:56-07:00,2,11
style.css,181,css,68680de7,Kyle Dang,2026-04-29,18:57:56,-07:00,2026-04-29T18:57:56-07:00,0,0
style.css,182,css,68680de7,Kyle Dang,2026-04-29,18:57:56,-07:00,2026-04-29T18:57:56-07:00,0,9
style.css,183,css,68680de7,Kyle Dang,2026-04-29,18:57:56,-07:00,2026-04-29T18:57:56-07:00,2,35
style.css,184,css,68680de7,Kyle Dang,2026-04-29,18:57:56,-07:00,2026-04-29T18:57:56-07:00,0,0
style.css,185,css,68680de7,Kyle Dang,2026-04-29,18:57:56,-07:00,2026-04-29T18:57:56-07:00,0,18
style.css,186,css,68680de7,Kyle Dang,2026-04-29,18:57:56,-07:00,2026-04-29T18:57:56-07:00,2,17
style.css,187,css,d48407a2,Kyle Dang,2026-04-06,21:20:00,-07:00,2026-04-06T21:20:00-07:00,0,0
resume.html,1,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,0,13
resume.html,2,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,0,14
resume.html,3,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,0,4
resume.html,4,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,2,20
resume.html,5,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,2,68
resume.html,6,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,2,19
resume.html,7,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,2,38
resume.html,8,html,8334ab70,Kyle Dang,2026-04-13,13:40:58,-07:00,2026-04-13T13:40:58-07:00,2,45
resume.html,9,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,0,5
resume.html,10,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,0,4
resume.html,11,html,fb5e5d42,Kyle Dang,2026-04-06,21:03:54,-07:00,2026-04-06T21:03:54-07:00,2,16
resume.html,12,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,2,7
resume.html,13,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,4,7
resume.html,14,html,0708c2f1,Kyle Dang,2026-04-06,22:31:35,-07:00,2026-04-06T22:31:35-07:00,6,217
resume.html,15,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,4,8
resume.html,16,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,2,8
resume.html,17,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,2,7
resume.html,18,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,4,16
resume.html,19,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,4,7
resume.html,20,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,6,6
resume.html,21,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,8,42
resume.html,22,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,8,36
resume.html,23,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,6,7
resume.html,24,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,6,95
resume.html,25,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,6,2
resume.html,26,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,8,35
resume.html,27,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,8,43
resume.html,28,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,8,29
resume.html,29,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,8,21
resume.html,30,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,6,3
resume.html,31,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,4,8
resume.html,32,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,2,8
resume.html,33,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,2,7
resume.html,34,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,4,15
resume.html,35,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,4,7
resume.html,36,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,6,6
resume.html,37,html,e0aa5f9c,Kyle Dang,2026-03-30,18:09:08,-07:00,2026-03-30T18:09:08-07:00,8,25
